SKI
GPC5
SOX21
ERCC5
IRS2
LAMP1
CCNB1IP1
BCL2L2
ARHGAP5
BAZ1A
NKX2-1
FOXA1
NIN
KTN1
SIX1
HIF1A
MAX
GPHN
RAD51B
TSHR
TRIP11
GOLGA5
DICER1
TCL1A
BCL11B
HSP90AA1
AKT1
NUTM1
THBS1
BUB1B
KNSTRN
KNL1
LTK
TGM7
B2M
USP8
MYO5A
C15orf65
TCF12
MAP2K1
SMAD3
PML
NTRK3
POLG
IDH2
CRTC3
BLM
FES
CHD2
IGF1R
AXIN1
NTHL1
TSC2
TRAF7
CREBBP
GRIN2A
CIITA
SOCS1
RMI2
TNFRSF17
SNX29
ERCC4
MYH11
PALB2
PRKCB
IL21R
FUS
CYLD
MMP2
HERPUD1
CDH11
CDH5
CBFB
CTCF
CDH1
ZFHX3
RFWD3
MAF
CBFA2T3
FANCA
YWHAE
USP6
RABEP1
NLRP1
TP53
PER1
AURKB
GAS7
MAP2K4
NCOR1
FLCN
SPECC1
NF1
SUZ12
TAF15
MLLT6
LASP1
CDK12
PGAP3
ERBB2
RARA
CCR7
SMARCE1
STAT5B
STAT3
BRCA1
ETV4
ITGB3
SPOP
KAT7
COL1A1
HLF
MSI2
RNF43
CLTC
PPM1D
BRIP1
CD79B
DDX5
AXIN2
PRKAR1A
H3F3B
SRSF2
SEPTIN9
BIRC5
CANT1
RNF213
ASPSCR1
ZNF521
SS18
CDH2
SETBP1
SMAD2
MBD1
SMAD4
DCC
MALT1
CDH20
BCL2
KDSR
FSTL3
STK11
TCF3
GNA11
FZR1
MAP2K2
SH3GL1
MLLT1
VAV1
CD209
MAP2K7
MUC16
KEAP1
DNM2
SMARCA4
CALR
LYL1
PRKACA
DNAJB1
BRD4
TPM4
JAK3
PIK3R2
ELL
CRTC1
ZNF429
CCNE1
CEP89
CEBPA
LSM14A
AKT2
AXL
CD79A
CIC
BCL3
CBLC
MARK4
ERCC2
ERCC1
BAX
BCL2L12
POLD1
KLK2
PPP2R1A
ZNF331
TFPT
CNOT3
AURKC
SOX11
MYCN
WDCP
NCOA1
DNMT3A
ASXL2
ALK
BIRC6
STRN
EML4
SIX2
EPAS1
MSH2
MSH6
FBXO11
BCL11A
REL
XPO1
PCBP1
DCTN1
CTNNA2
TCF7L1
TMEM127
AFF3
RGPD3
RANBP2
PAX8
ERCC3
CXCR4
LRP1B
ACVR2A
ACVR1
HOXD13
HOXD11
NFE2L2
ITGAV
COL3A1
PMS1
SF3B1
CASP8
CD28
CREB1
IDH1
ERBB4
BARD1
ATIC
FN1
STK36
FEV
PAX3
ACSL3
CUL3
UGT1A1
ACKR3
SIRPA
CRNKL1
BCL2L1
ASXL1
SRC
MAFB
TOP1
PLCG1
PTPRT
SDC4
NFATC2
SALL4
AURKA
GNAS
SS18L1
PTK6
OLIG2
RUNX1
ERG
TMPRSS2
U2AF1
ITGB2
CLTCL1
SEPTIN5
DGCR8
CRKL
LZTR1
MAPK1
BCR
SMARCB1
MN1
CHEK2
ZNRF3
EWSR1
NF2
PATZ1
TIMP3
ISX
MYH9
APOBEC3B
PDGFB
MRTFA
EP300
CYP2D6
CRBN
SRGAP3
FANCD2
VHL
PPARG
RAF1
FBLN2
XPC
TGFBR2
CCR4
MLH1
ITGA9
MYD88
CTNNB1
LTF
SETD2
NCKIPSD
RHOA
BAP1
PBRM1
CACNA1D
FHIT
MAGI1
MITF
FOXP1
ROBO2
EPHA3
TFG
CBLB
POLQ
GATA2
RPN1
CNBP
EPHB1
STAG1
PIK3CB
FOXL2
ATR
WWTR1
GMPS
MLF1
MECOM
TBL1XR1
PIK3CA
SOX2
MAP3K13
ETV5
EIF4A2
BCL6
LPP
TP63
MB21D2
MUC4
TNK2
TFRC
FGFR3
NSD2
SLC34A2
N4BP2
RHOH
PHOX2B
TEC
FIP1L1
CHIC2
PDGFRA
KIT
KDR
ADGRL3
PTPN13
AFF1
RAP1GDS1
NFKB1
TET2
LEF1
IL2
FAT4
FBXW7
CASP3
FAT1
SDHA
TERT
MTRR
CTNND2
CDH10
DROSHA
IL7R
GDNF
LIFR
IL6ST
MAP3K1
PIK3R1
RAD17
APC
ACSL6
RAD50
AFF4
CTNNA1
ARHGAP26
CSF1R
PDGFRB
CD74
ITK
EBF1
PWWP2A
TLX3
NPM1
FGFR4
NSD1
FLT4
IRF4
DEK
HIST1H3B
HIST1H4I
TRIM27
HLA-A
POU5F1
NOTCH4
DAXX
HMGA1
FANCE
SRSF3
CDKN1A
PIM1
FOXP4
TFEB
CCND3
HSP90AB1
NFKBIE
PKHD1
ICK
BMP5
DST
ADGRB3
MAP3K7
EPHA7
CCNC
PRDM1
FOXO3
ROS1
GOPC
RSPO3
PTPRK
SGK1
MYB
BCLAF1
TNFAIP3
ECT2L
LATS1
ESR1
SYNE1
ARID1B
EZR
QKI
RPS6KA2
FGFR1OP
AFDN
CARD11
PMS2
RAC1
ETV1
MACC1
HNRNPA2B1
HOXA9
HOXA11
HOXA13
JAZF1
FKBP9
SFRP4
IKZF1
EGFR
ZNF479
SBDS
ELN
HIP1
GRM3
AKAP9
CDK6
SAMD9
TRRAP
EPHB4
CUX1
PIK3CG
MET
POT1
GRM8
SND1
SMO
CREB3L2
TRIM24
KIAA1549
BRAF
EPHB6
FAM131B
CNTNAP2
EZH2
KMT2C
XRCC2
MNX1
ARHGEF10
PCM1
LEPROTL1
WRN
NRG1
ADGRA2
NSD3
FGFR1
ANK1
KAT6A
HOOK3
PRKDC
TCEA1
PLAG1
CHCHD7
MYBL1
PREX2
NCOA2
HEY1
CNBD1
NBN
RUNX1T1
CDH17
COX6C
PABPC1
UBR5
RSPO2
EIF3E
CSMD3
RAD21
EXT1
MYC
NDRG1
FAM135B
RECQL4
JAK2
CD274
PDCD1LG2
PTPRD
NFIB
PSIP1
MLLT3
CDKN2A
CDKN2B
TAF1L
FANCG
PAX5
GNAQ
NTRK2
SYK
OMD
WNK2
FANCC
PTCH1
XPA
NR4A3
TAL2
KLF4
TNC
TLR4
CNTRL
PPP6C
SET
FNBP1
ABL1
NUP214
TSC1
RALGDS
BRD3
NOTCH1
CRLF2
P2RY8
ZRSR2
EIF1AX
FAM47C
BCOR
USP9X
DDX3X
KDM6A
RBM10
ARAF
SSX1
SSX4
WAS
GATA1
TFE3
SSX2
KDM5C
SMC1A
AMER1
MSN
AR
FOXO4
MED12
ZMYM3
NONO
TAF1
ATRX
TBX22
BTK
IRS4
PAK3
SEPTIN6
STAG2
SH2D1A
DCAF12L2
BCORL1
ELF4
GPC3
PHF6
MAGEA1
ATP2B3
FLNA
RPL10
G6PD
MTCP1
