sample	sample1	sample2	ratio1	ratio2	reads1	reads2
MRL0143CH_MRL0017CH_50_50	MRL0143CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563294CH1_MRL0017CH_50_50	SDBBW044216563294CH1	MRL0017CH	50	50	50000000	50000000
SDBBW044216563299CH_MRL0017CH_50_50	SDBBW044216563299CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563300CH_MRL0017CH_50_50	SDBBW044216563300CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563303CH_MRL0017CH_50_50	SDBBW044216563303CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563304CH_MRL0017CH_50_50	SDBBW044216563304CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563305CH_MRL0017CH_50_50	SDBBW044216563305CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563328CH_MRL0017CH_50_50	SDBBW044216563328CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563329CH_MRL0017CH_50_50	SDBBW044216563329CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563330CH_MRL0017CH_50_50	SDBBW044216563330CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563335CH_MRL0017CH_50_50	SDBBW044216563335CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563342CH_MRL0017CH_50_50	SDBBW044216563342CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563343CH_MRL0017CH_50_50	SDBBW044216563343CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563344CH_MRL0017CH_50_50	SDBBW044216563344CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563354CH_MRL0017CH_50_50	SDBBW044216563354CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563359CH_MRL0017CH_50_50	SDBBW044216563359CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563361CH_MRL0017CH_50_50	SDBBW044216563361CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563364CH_MRL0017CH_50_50	SDBBW044216563364CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563365CH_MRL0017CH_50_50	SDBBW044216563365CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563366CH_MRL0017CH_50_50	SDBBW044216563366CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563367CH_MRL0017CH_50_50	SDBBW044216563367CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563368CH_MRL0017CH_50_50	SDBBW044216563368CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563370CH_MRL0017CH_50_50	SDBBW044216563370CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563371CH_MRL0017CH_50_50	SDBBW044216563371CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563375CH_MRL0017CH_50_50	SDBBW044216563375CH	MRL0017CH	50	50	50000000	50000000
SDBBW044216563376CH_MRL0017CH_50_50	SDBBW044216563376CH	MRL0017CH	50	50	50000000	50000000
MRL0001CH_MRL0018CH_50_50	MRL0001CH	MRL0018CH	50	50	50000000	50000000
MRL0002CH_MRL0018CH_50_50	MRL0002CH	MRL0018CH	50	50	50000000	50000000
MRL0003CH_MRL0018CH_50_50	MRL0003CH	MRL0018CH	50	50	50000000	50000000
MRL0004CH_MRL0018CH_50_50	MRL0004CH	MRL0018CH	50	50	50000000	50000000
MRL0005CH_MRL0018CH_50_50	MRL0005CH	MRL0018CH	50	50	50000000	50000000
MRL0006CH_MRL0018CH_50_50	MRL0006CH	MRL0018CH	50	50	50000000	50000000
MRL0008CH_MRL0018CH_50_50	MRL0008CH	MRL0018CH	50	50	50000000	50000000
MRL0010CH_MRL0018CH_50_50	MRL0010CH	MRL0018CH	50	50	50000000	50000000
MRL0012CH_MRL0018CH_50_50	MRL0012CH	MRL0018CH	50	50	50000000	50000000
MRL0013CH_MRL0018CH_50_50	MRL0013CH	MRL0018CH	50	50	50000000	50000000
MRL0014CH_MRL0018CH_50_50	MRL0014CH	MRL0018CH	50	50	50000000	50000000
MRL0015CH_MRL0018CH_50_50	MRL0015CH	MRL0018CH	50	50	50000000	50000000
MRL0017CH_MRL0018CH_50_50	MRL0017CH	MRL0018CH	50	50	50000000	50000000
MRL0028CH_MRL0018CH_50_50	MRL0028CH	MRL0018CH	50	50	50000000	50000000
MRL0056CH_MRL0018CH_50_50	MRL0056CH	MRL0018CH	50	50	50000000	50000000
MRL0057CH_MRL0018CH_50_50	MRL0057CH	MRL0018CH	50	50	50000000	50000000
MRL0058CH_MRL0018CH_50_50	MRL0058CH	MRL0018CH	50	50	50000000	50000000
MRL0059CH_MRL0018CH_50_50	MRL0059CH	MRL0018CH	50	50	50000000	50000000
MRL0064CH_MRL0018CH_50_50	MRL0064CH	MRL0018CH	50	50	50000000	50000000
MRL0066CH_MRL0018CH_50_50	MRL0066CH	MRL0018CH	50	50	50000000	50000000
MRL0143CH_MRL0018CH_50_50	MRL0143CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563294CH1_MRL0018CH_50_50	SDBBW044216563294CH1	MRL0018CH	50	50	50000000	50000000
SDBBW044216563299CH_MRL0018CH_50_50	SDBBW044216563299CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563300CH_MRL0018CH_50_50	SDBBW044216563300CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563303CH_MRL0018CH_50_50	SDBBW044216563303CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563304CH_MRL0018CH_50_50	SDBBW044216563304CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563305CH_MRL0018CH_50_50	SDBBW044216563305CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563328CH_MRL0018CH_50_50	SDBBW044216563328CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563329CH_MRL0018CH_50_50	SDBBW044216563329CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563330CH_MRL0018CH_50_50	SDBBW044216563330CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563335CH_MRL0018CH_50_50	SDBBW044216563335CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563342CH_MRL0018CH_50_50	SDBBW044216563342CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563343CH_MRL0018CH_50_50	SDBBW044216563343CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563344CH_MRL0018CH_50_50	SDBBW044216563344CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563354CH_MRL0018CH_50_50	SDBBW044216563354CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563359CH_MRL0018CH_50_50	SDBBW044216563359CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563361CH_MRL0018CH_50_50	SDBBW044216563361CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563364CH_MRL0018CH_50_50	SDBBW044216563364CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563365CH_MRL0018CH_50_50	SDBBW044216563365CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563366CH_MRL0018CH_50_50	SDBBW044216563366CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563367CH_MRL0018CH_50_50	SDBBW044216563367CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563368CH_MRL0018CH_50_50	SDBBW044216563368CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563370CH_MRL0018CH_50_50	SDBBW044216563370CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563371CH_MRL0018CH_50_50	SDBBW044216563371CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563375CH_MRL0018CH_50_50	SDBBW044216563375CH	MRL0018CH	50	50	50000000	50000000
SDBBW044216563376CH_MRL0018CH_50_50	SDBBW044216563376CH	MRL0018CH	50	50	50000000	50000000
MRL0001CH_MRL0028CH_50_50	MRL0001CH	MRL0028CH	50	50	50000000	50000000
MRL0002CH_MRL0028CH_50_50	MRL0002CH	MRL0028CH	50	50	50000000	50000000
MRL0003CH_MRL0028CH_50_50	MRL0003CH	MRL0028CH	50	50	50000000	50000000
MRL0004CH_MRL0028CH_50_50	MRL0004CH	MRL0028CH	50	50	50000000	50000000
MRL0005CH_MRL0028CH_50_50	MRL0005CH	MRL0028CH	50	50	50000000	50000000
MRL0006CH_MRL0028CH_50_50	MRL0006CH	MRL0028CH	50	50	50000000	50000000
MRL0008CH_MRL0028CH_50_50	MRL0008CH	MRL0028CH	50	50	50000000	50000000
MRL0010CH_MRL0028CH_50_50	MRL0010CH	MRL0028CH	50	50	50000000	50000000
MRL0012CH_MRL0028CH_50_50	MRL0012CH	MRL0028CH	50	50	50000000	50000000
MRL0013CH_MRL0028CH_50_50	MRL0013CH	MRL0028CH	50	50	50000000	50000000
MRL0014CH_MRL0028CH_50_50	MRL0014CH	MRL0028CH	50	50	50000000	50000000
MRL0015CH_MRL0028CH_50_50	MRL0015CH	MRL0028CH	50	50	50000000	50000000
MRL0017CH_MRL0028CH_50_50	MRL0017CH	MRL0028CH	50	50	50000000	50000000
MRL0018CH_MRL0028CH_50_50	MRL0018CH	MRL0028CH	50	50	50000000	50000000
MRL0056CH_MRL0028CH_50_50	MRL0056CH	MRL0028CH	50	50	50000000	50000000
MRL0057CH_MRL0028CH_50_50	MRL0057CH	MRL0028CH	50	50	50000000	50000000
MRL0058CH_MRL0028CH_50_50	MRL0058CH	MRL0028CH	50	50	50000000	50000000
MRL0059CH_MRL0028CH_50_50	MRL0059CH	MRL0028CH	50	50	50000000	50000000
MRL0064CH_MRL0028CH_50_50	MRL0064CH	MRL0028CH	50	50	50000000	50000000
MRL0066CH_MRL0028CH_50_50	MRL0066CH	MRL0028CH	50	50	50000000	50000000
MRL0143CH_MRL0028CH_50_50	MRL0143CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563294CH1_MRL0028CH_50_50	SDBBW044216563294CH1	MRL0028CH	50	50	50000000	50000000
SDBBW044216563299CH_MRL0028CH_50_50	SDBBW044216563299CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563300CH_MRL0028CH_50_50	SDBBW044216563300CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563303CH_MRL0028CH_50_50	SDBBW044216563303CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563304CH_MRL0028CH_50_50	SDBBW044216563304CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563305CH_MRL0028CH_50_50	SDBBW044216563305CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563328CH_MRL0028CH_50_50	SDBBW044216563328CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563329CH_MRL0028CH_50_50	SDBBW044216563329CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563330CH_MRL0028CH_50_50	SDBBW044216563330CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563335CH_MRL0028CH_50_50	SDBBW044216563335CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563342CH_MRL0028CH_50_50	SDBBW044216563342CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563343CH_MRL0028CH_50_50	SDBBW044216563343CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563344CH_MRL0028CH_50_50	SDBBW044216563344CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563354CH_MRL0028CH_50_50	SDBBW044216563354CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563359CH_MRL0028CH_50_50	SDBBW044216563359CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563361CH_MRL0028CH_50_50	SDBBW044216563361CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563364CH_MRL0028CH_50_50	SDBBW044216563364CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563365CH_MRL0028CH_50_50	SDBBW044216563365CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563366CH_MRL0028CH_50_50	SDBBW044216563366CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563367CH_MRL0028CH_50_50	SDBBW044216563367CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563368CH_MRL0028CH_50_50	SDBBW044216563368CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563370CH_MRL0028CH_50_50	SDBBW044216563370CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563371CH_MRL0028CH_50_50	SDBBW044216563371CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563375CH_MRL0028CH_50_50	SDBBW044216563375CH	MRL0028CH	50	50	50000000	50000000
SDBBW044216563376CH_MRL0028CH_50_50	SDBBW044216563376CH	MRL0028CH	50	50	50000000	50000000
MRL0001CH_MRL0056CH_50_50	MRL0001CH	MRL0056CH	50	50	50000000	50000000
MRL0002CH_MRL0056CH_50_50	MRL0002CH	MRL0056CH	50	50	50000000	50000000
MRL0003CH_MRL0056CH_50_50	MRL0003CH	MRL0056CH	50	50	50000000	50000000
MRL0004CH_MRL0056CH_50_50	MRL0004CH	MRL0056CH	50	50	50000000	50000000
MRL0005CH_MRL0056CH_50_50	MRL0005CH	MRL0056CH	50	50	50000000	50000000
MRL0006CH_MRL0056CH_50_50	MRL0006CH	MRL0056CH	50	50	50000000	50000000
MRL0008CH_MRL0056CH_50_50	MRL0008CH	MRL0056CH	50	50	50000000	50000000
MRL0010CH_MRL0056CH_50_50	MRL0010CH	MRL0056CH	50	50	50000000	50000000
MRL0012CH_MRL0056CH_50_50	MRL0012CH	MRL0056CH	50	50	50000000	50000000
MRL0013CH_MRL0056CH_50_50	MRL0013CH	MRL0056CH	50	50	50000000	50000000
MRL0014CH_MRL0056CH_50_50	MRL0014CH	MRL0056CH	50	50	50000000	50000000
MRL0015CH_MRL0056CH_50_50	MRL0015CH	MRL0056CH	50	50	50000000	50000000
MRL0017CH_MRL0056CH_50_50	MRL0017CH	MRL0056CH	50	50	50000000	50000000
MRL0018CH_MRL0056CH_50_50	MRL0018CH	MRL0056CH	50	50	50000000	50000000
MRL0028CH_MRL0056CH_50_50	MRL0028CH	MRL0056CH	50	50	50000000	50000000
MRL0057CH_MRL0056CH_50_50	MRL0057CH	MRL0056CH	50	50	50000000	50000000
MRL0058CH_MRL0056CH_50_50	MRL0058CH	MRL0056CH	50	50	50000000	50000000
MRL0059CH_MRL0056CH_50_50	MRL0059CH	MRL0056CH	50	50	50000000	50000000
MRL0064CH_MRL0056CH_50_50	MRL0064CH	MRL0056CH	50	50	50000000	50000000
MRL0066CH_MRL0056CH_50_50	MRL0066CH	MRL0056CH	50	50	50000000	50000000
MRL0143CH_MRL0056CH_50_50	MRL0143CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563294CH1_MRL0056CH_50_50	SDBBW044216563294CH1	MRL0056CH	50	50	50000000	50000000
SDBBW044216563299CH_MRL0056CH_50_50	SDBBW044216563299CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563300CH_MRL0056CH_50_50	SDBBW044216563300CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563303CH_MRL0056CH_50_50	SDBBW044216563303CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563304CH_MRL0056CH_50_50	SDBBW044216563304CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563305CH_MRL0056CH_50_50	SDBBW044216563305CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563328CH_MRL0056CH_50_50	SDBBW044216563328CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563329CH_MRL0056CH_50_50	SDBBW044216563329CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563330CH_MRL0056CH_50_50	SDBBW044216563330CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563335CH_MRL0056CH_50_50	SDBBW044216563335CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563342CH_MRL0056CH_50_50	SDBBW044216563342CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563343CH_MRL0056CH_50_50	SDBBW044216563343CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563344CH_MRL0056CH_50_50	SDBBW044216563344CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563354CH_MRL0056CH_50_50	SDBBW044216563354CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563359CH_MRL0056CH_50_50	SDBBW044216563359CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563361CH_MRL0056CH_50_50	SDBBW044216563361CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563364CH_MRL0056CH_50_50	SDBBW044216563364CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563365CH_MRL0056CH_50_50	SDBBW044216563365CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563366CH_MRL0056CH_50_50	SDBBW044216563366CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563367CH_MRL0056CH_50_50	SDBBW044216563367CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563368CH_MRL0056CH_50_50	SDBBW044216563368CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563370CH_MRL0056CH_50_50	SDBBW044216563370CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563371CH_MRL0056CH_50_50	SDBBW044216563371CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563375CH_MRL0056CH_50_50	SDBBW044216563375CH	MRL0056CH	50	50	50000000	50000000
SDBBW044216563376CH_MRL0056CH_50_50	SDBBW044216563376CH	MRL0056CH	50	50	50000000	50000000
MRL0001CH_MRL0057CH_50_50	MRL0001CH	MRL0057CH	50	50	50000000	50000000
MRL0002CH_MRL0057CH_50_50	MRL0002CH	MRL0057CH	50	50	50000000	50000000
MRL0003CH_MRL0057CH_50_50	MRL0003CH	MRL0057CH	50	50	50000000	50000000
MRL0004CH_MRL0057CH_50_50	MRL0004CH	MRL0057CH	50	50	50000000	50000000
MRL0005CH_MRL0057CH_50_50	MRL0005CH	MRL0057CH	50	50	50000000	50000000
MRL0006CH_MRL0057CH_50_50	MRL0006CH	MRL0057CH	50	50	50000000	50000000
MRL0008CH_MRL0057CH_50_50	MRL0008CH	MRL0057CH	50	50	50000000	50000000
MRL0010CH_MRL0057CH_50_50	MRL0010CH	MRL0057CH	50	50	50000000	50000000
MRL0012CH_MRL0057CH_50_50	MRL0012CH	MRL0057CH	50	50	50000000	50000000
MRL0013CH_MRL0057CH_50_50	MRL0013CH	MRL0057CH	50	50	50000000	50000000
MRL0014CH_MRL0057CH_50_50	MRL0014CH	MRL0057CH	50	50	50000000	50000000
MRL0015CH_MRL0057CH_50_50	MRL0015CH	MRL0057CH	50	50	50000000	50000000
MRL0017CH_MRL0057CH_50_50	MRL0017CH	MRL0057CH	50	50	50000000	50000000
MRL0018CH_MRL0057CH_50_50	MRL0018CH	MRL0057CH	50	50	50000000	50000000
MRL0028CH_MRL0057CH_50_50	MRL0028CH	MRL0057CH	50	50	50000000	50000000
MRL0056CH_MRL0057CH_50_50	MRL0056CH	MRL0057CH	50	50	50000000	50000000
MRL0058CH_MRL0057CH_50_50	MRL0058CH	MRL0057CH	50	50	50000000	50000000
MRL0059CH_MRL0057CH_50_50	MRL0059CH	MRL0057CH	50	50	50000000	50000000
MRL0064CH_MRL0057CH_50_50	MRL0064CH	MRL0057CH	50	50	50000000	50000000
MRL0066CH_MRL0057CH_50_50	MRL0066CH	MRL0057CH	50	50	50000000	50000000
MRL0143CH_MRL0057CH_50_50	MRL0143CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563294CH1_MRL0057CH_50_50	SDBBW044216563294CH1	MRL0057CH	50	50	50000000	50000000
SDBBW044216563299CH_MRL0057CH_50_50	SDBBW044216563299CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563300CH_MRL0057CH_50_50	SDBBW044216563300CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563303CH_MRL0057CH_50_50	SDBBW044216563303CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563304CH_MRL0057CH_50_50	SDBBW044216563304CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563305CH_MRL0057CH_50_50	SDBBW044216563305CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563328CH_MRL0057CH_50_50	SDBBW044216563328CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563329CH_MRL0057CH_50_50	SDBBW044216563329CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563330CH_MRL0057CH_50_50	SDBBW044216563330CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563335CH_MRL0057CH_50_50	SDBBW044216563335CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563342CH_MRL0057CH_50_50	SDBBW044216563342CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563343CH_MRL0057CH_50_50	SDBBW044216563343CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563344CH_MRL0057CH_50_50	SDBBW044216563344CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563354CH_MRL0057CH_50_50	SDBBW044216563354CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563359CH_MRL0057CH_50_50	SDBBW044216563359CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563361CH_MRL0057CH_50_50	SDBBW044216563361CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563364CH_MRL0057CH_50_50	SDBBW044216563364CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563365CH_MRL0057CH_50_50	SDBBW044216563365CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563366CH_MRL0057CH_50_50	SDBBW044216563366CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563367CH_MRL0057CH_50_50	SDBBW044216563367CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563368CH_MRL0057CH_50_50	SDBBW044216563368CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563370CH_MRL0057CH_50_50	SDBBW044216563370CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563371CH_MRL0057CH_50_50	SDBBW044216563371CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563375CH_MRL0057CH_50_50	SDBBW044216563375CH	MRL0057CH	50	50	50000000	50000000
SDBBW044216563376CH_MRL0057CH_50_50	SDBBW044216563376CH	MRL0057CH	50	50	50000000	50000000
MRL0001CH_MRL0058CH_50_50	MRL0001CH	MRL0058CH	50	50	50000000	50000000
MRL0002CH_MRL0058CH_50_50	MRL0002CH	MRL0058CH	50	50	50000000	50000000
MRL0003CH_MRL0058CH_50_50	MRL0003CH	MRL0058CH	50	50	50000000	50000000
MRL0004CH_MRL0058CH_50_50	MRL0004CH	MRL0058CH	50	50	50000000	50000000
MRL0005CH_MRL0058CH_50_50	MRL0005CH	MRL0058CH	50	50	50000000	50000000
MRL0006CH_MRL0058CH_50_50	MRL0006CH	MRL0058CH	50	50	50000000	50000000
MRL0008CH_MRL0058CH_50_50	MRL0008CH	MRL0058CH	50	50	50000000	50000000
MRL0010CH_MRL0058CH_50_50	MRL0010CH	MRL0058CH	50	50	50000000	50000000
MRL0012CH_MRL0058CH_50_50	MRL0012CH	MRL0058CH	50	50	50000000	50000000
MRL0013CH_MRL0058CH_50_50	MRL0013CH	MRL0058CH	50	50	50000000	50000000
MRL0014CH_MRL0058CH_50_50	MRL0014CH	MRL0058CH	50	50	50000000	50000000
MRL0015CH_MRL0058CH_50_50	MRL0015CH	MRL0058CH	50	50	50000000	50000000
MRL0017CH_MRL0058CH_50_50	MRL0017CH	MRL0058CH	50	50	50000000	50000000
MRL0018CH_MRL0058CH_50_50	MRL0018CH	MRL0058CH	50	50	50000000	50000000
MRL0028CH_MRL0058CH_50_50	MRL0028CH	MRL0058CH	50	50	50000000	50000000
MRL0056CH_MRL0058CH_50_50	MRL0056CH	MRL0058CH	50	50	50000000	50000000
MRL0057CH_MRL0058CH_50_50	MRL0057CH	MRL0058CH	50	50	50000000	50000000
MRL0059CH_MRL0058CH_50_50	MRL0059CH	MRL0058CH	50	50	50000000	50000000
MRL0064CH_MRL0058CH_50_50	MRL0064CH	MRL0058CH	50	50	50000000	50000000
MRL0066CH_MRL0058CH_50_50	MRL0066CH	MRL0058CH	50	50	50000000	50000000
MRL0143CH_MRL0058CH_50_50	MRL0143CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563294CH1_MRL0058CH_50_50	SDBBW044216563294CH1	MRL0058CH	50	50	50000000	50000000
SDBBW044216563299CH_MRL0058CH_50_50	SDBBW044216563299CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563300CH_MRL0058CH_50_50	SDBBW044216563300CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563303CH_MRL0058CH_50_50	SDBBW044216563303CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563304CH_MRL0058CH_50_50	SDBBW044216563304CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563305CH_MRL0058CH_50_50	SDBBW044216563305CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563328CH_MRL0058CH_50_50	SDBBW044216563328CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563329CH_MRL0058CH_50_50	SDBBW044216563329CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563330CH_MRL0058CH_50_50	SDBBW044216563330CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563335CH_MRL0058CH_50_50	SDBBW044216563335CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563342CH_MRL0058CH_50_50	SDBBW044216563342CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563343CH_MRL0058CH_50_50	SDBBW044216563343CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563344CH_MRL0058CH_50_50	SDBBW044216563344CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563354CH_MRL0058CH_50_50	SDBBW044216563354CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563359CH_MRL0058CH_50_50	SDBBW044216563359CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563361CH_MRL0058CH_50_50	SDBBW044216563361CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563364CH_MRL0058CH_50_50	SDBBW044216563364CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563365CH_MRL0058CH_50_50	SDBBW044216563365CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563366CH_MRL0058CH_50_50	SDBBW044216563366CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563367CH_MRL0058CH_50_50	SDBBW044216563367CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563368CH_MRL0058CH_50_50	SDBBW044216563368CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563370CH_MRL0058CH_50_50	SDBBW044216563370CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563371CH_MRL0058CH_50_50	SDBBW044216563371CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563375CH_MRL0058CH_50_50	SDBBW044216563375CH	MRL0058CH	50	50	50000000	50000000
SDBBW044216563376CH_MRL0058CH_50_50	SDBBW044216563376CH	MRL0058CH	50	50	50000000	50000000
MRL0001CH_MRL0059CH_50_50	MRL0001CH	MRL0059CH	50	50	50000000	50000000
MRL0002CH_MRL0059CH_50_50	MRL0002CH	MRL0059CH	50	50	50000000	50000000
MRL0003CH_MRL0059CH_50_50	MRL0003CH	MRL0059CH	50	50	50000000	50000000
MRL0004CH_MRL0059CH_50_50	MRL0004CH	MRL0059CH	50	50	50000000	50000000
MRL0005CH_MRL0059CH_50_50	MRL0005CH	MRL0059CH	50	50	50000000	50000000
MRL0006CH_MRL0059CH_50_50	MRL0006CH	MRL0059CH	50	50	50000000	50000000
MRL0008CH_MRL0059CH_50_50	MRL0008CH	MRL0059CH	50	50	50000000	50000000
MRL0010CH_MRL0059CH_50_50	MRL0010CH	MRL0059CH	50	50	50000000	50000000
MRL0012CH_MRL0059CH_50_50	MRL0012CH	MRL0059CH	50	50	50000000	50000000
