sample	sample1	sample2	ratio1	ratio2	reads1	reads2
MSK10196ACH_SDBBW044216563300CH_25_75	MSK10196ACH	SDBBW044216563300CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563300CH_5_95	MSK10196ACH	SDBBW044216563300CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563300CH_50_50	MSK10196ACH	SDBBW044216563300CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563303CH_1_99	MSK10196ACH	SDBBW044216563303CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563303CH_10_90	MSK10196ACH	SDBBW044216563303CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563303CH_25_75	MSK10196ACH	SDBBW044216563303CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563303CH_5_95	MSK10196ACH	SDBBW044216563303CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563303CH_50_50	MSK10196ACH	SDBBW044216563303CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563304CH_1_99	MSK10196ACH	SDBBW044216563304CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563304CH_10_90	MSK10196ACH	SDBBW044216563304CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563304CH_25_75	MSK10196ACH	SDBBW044216563304CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563304CH_5_95	MSK10196ACH	SDBBW044216563304CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563304CH_50_50	MSK10196ACH	SDBBW044216563304CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563305CH_1_99	MSK10196ACH	SDBBW044216563305CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563305CH_10_90	MSK10196ACH	SDBBW044216563305CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563305CH_25_75	MSK10196ACH	SDBBW044216563305CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563305CH_5_95	MSK10196ACH	SDBBW044216563305CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563305CH_50_50	MSK10196ACH	SDBBW044216563305CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563328CH_1_99	MSK10196ACH	SDBBW044216563328CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563328CH_10_90	MSK10196ACH	SDBBW044216563328CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563328CH_25_75	MSK10196ACH	SDBBW044216563328CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563328CH_5_95	MSK10196ACH	SDBBW044216563328CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563328CH_50_50	MSK10196ACH	SDBBW044216563328CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563329CH_1_99	MSK10196ACH	SDBBW044216563329CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563329CH_10_90	MSK10196ACH	SDBBW044216563329CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563329CH_25_75	MSK10196ACH	SDBBW044216563329CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563329CH_5_95	MSK10196ACH	SDBBW044216563329CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563329CH_50_50	MSK10196ACH	SDBBW044216563329CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563330CH_1_99	MSK10196ACH	SDBBW044216563330CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563330CH_10_90	MSK10196ACH	SDBBW044216563330CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563330CH_25_75	MSK10196ACH	SDBBW044216563330CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563330CH_5_95	MSK10196ACH	SDBBW044216563330CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563330CH_50_50	MSK10196ACH	SDBBW044216563330CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563335CH_1_99	MSK10196ACH	SDBBW044216563335CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563335CH_10_90	MSK10196ACH	SDBBW044216563335CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563335CH_25_75	MSK10196ACH	SDBBW044216563335CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563335CH_5_95	MSK10196ACH	SDBBW044216563335CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563335CH_50_50	MSK10196ACH	SDBBW044216563335CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563342CH_1_99	MSK10196ACH	SDBBW044216563342CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563342CH_10_90	MSK10196ACH	SDBBW044216563342CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563342CH_25_75	MSK10196ACH	SDBBW044216563342CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563342CH_5_95	MSK10196ACH	SDBBW044216563342CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563342CH_50_50	MSK10196ACH	SDBBW044216563342CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563343CH_1_99	MSK10196ACH	SDBBW044216563343CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563343CH_10_90	MSK10196ACH	SDBBW044216563343CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563343CH_25_75	MSK10196ACH	SDBBW044216563343CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563343CH_5_95	MSK10196ACH	SDBBW044216563343CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563343CH_50_50	MSK10196ACH	SDBBW044216563343CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563344CH_1_99	MSK10196ACH	SDBBW044216563344CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563344CH_10_90	MSK10196ACH	SDBBW044216563344CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563344CH_25_75	MSK10196ACH	SDBBW044216563344CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563344CH_5_95	MSK10196ACH	SDBBW044216563344CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563344CH_50_50	MSK10196ACH	SDBBW044216563344CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563354CH_1_99	MSK10196ACH	SDBBW044216563354CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563354CH_10_90	MSK10196ACH	SDBBW044216563354CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563354CH_25_75	MSK10196ACH	SDBBW044216563354CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563354CH_5_95	MSK10196ACH	SDBBW044216563354CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563354CH_50_50	MSK10196ACH	SDBBW044216563354CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563359CH_1_99	MSK10196ACH	SDBBW044216563359CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563359CH_10_90	MSK10196ACH	SDBBW044216563359CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563359CH_25_75	MSK10196ACH	SDBBW044216563359CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563359CH_5_95	MSK10196ACH	SDBBW044216563359CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563359CH_50_50	MSK10196ACH	SDBBW044216563359CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563361CH_1_99	MSK10196ACH	SDBBW044216563361CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563361CH_10_90	MSK10196ACH	SDBBW044216563361CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563361CH_25_75	MSK10196ACH	SDBBW044216563361CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563361CH_5_95	MSK10196ACH	SDBBW044216563361CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563361CH_50_50	MSK10196ACH	SDBBW044216563361CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563364CH_1_99	MSK10196ACH	SDBBW044216563364CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563364CH_10_90	MSK10196ACH	SDBBW044216563364CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563364CH_25_75	MSK10196ACH	SDBBW044216563364CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563364CH_5_95	MSK10196ACH	SDBBW044216563364CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563364CH_50_50	MSK10196ACH	SDBBW044216563364CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563365CH_1_99	MSK10196ACH	SDBBW044216563365CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563365CH_10_90	MSK10196ACH	SDBBW044216563365CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563365CH_25_75	MSK10196ACH	SDBBW044216563365CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563365CH_5_95	MSK10196ACH	SDBBW044216563365CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563365CH_50_50	MSK10196ACH	SDBBW044216563365CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563366CH_1_99	MSK10196ACH	SDBBW044216563366CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563366CH_10_90	MSK10196ACH	SDBBW044216563366CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563366CH_25_75	MSK10196ACH	SDBBW044216563366CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563366CH_5_95	MSK10196ACH	SDBBW044216563366CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563366CH_50_50	MSK10196ACH	SDBBW044216563366CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563367CH_1_99	MSK10196ACH	SDBBW044216563367CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563367CH_10_90	MSK10196ACH	SDBBW044216563367CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563367CH_25_75	MSK10196ACH	SDBBW044216563367CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563367CH_5_95	MSK10196ACH	SDBBW044216563367CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563367CH_50_50	MSK10196ACH	SDBBW044216563367CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563368CH_1_99	MSK10196ACH	SDBBW044216563368CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563368CH_10_90	MSK10196ACH	SDBBW044216563368CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563368CH_25_75	MSK10196ACH	SDBBW044216563368CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563368CH_5_95	MSK10196ACH	SDBBW044216563368CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563368CH_50_50	MSK10196ACH	SDBBW044216563368CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563370CH_1_99	MSK10196ACH	SDBBW044216563370CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563370CH_10_90	MSK10196ACH	SDBBW044216563370CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563370CH_25_75	MSK10196ACH	SDBBW044216563370CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563370CH_5_95	MSK10196ACH	SDBBW044216563370CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563370CH_50_50	MSK10196ACH	SDBBW044216563370CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563371CH_1_99	MSK10196ACH	SDBBW044216563371CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563371CH_10_90	MSK10196ACH	SDBBW044216563371CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563371CH_25_75	MSK10196ACH	SDBBW044216563371CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563371CH_5_95	MSK10196ACH	SDBBW044216563371CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563371CH_50_50	MSK10196ACH	SDBBW044216563371CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563375CH_1_99	MSK10196ACH	SDBBW044216563375CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563375CH_10_90	MSK10196ACH	SDBBW044216563375CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563375CH_25_75	MSK10196ACH	SDBBW044216563375CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563375CH_5_95	MSK10196ACH	SDBBW044216563375CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563375CH_50_50	MSK10196ACH	SDBBW044216563375CH	50	50	50000000	50000000
MSK10196ACH_SDBBW044216563376CH_1_99	MSK10196ACH	SDBBW044216563376CH	1	99	1000000	99000000
MSK10196ACH_SDBBW044216563376CH_10_90	MSK10196ACH	SDBBW044216563376CH	10	90	10000000	90000000
MSK10196ACH_SDBBW044216563376CH_25_75	MSK10196ACH	SDBBW044216563376CH	25	75	25000000	75000000
MSK10196ACH_SDBBW044216563376CH_5_95	MSK10196ACH	SDBBW044216563376CH	5	95	5000000	95000000
MSK10196ACH_SDBBW044216563376CH_50_50	MSK10196ACH	SDBBW044216563376CH	50	50	50000000	50000000
MSK10500CH_MRL0001CH_1_99	MSK10500CH	MRL0001CH	1	99	1000000	99000000
MSK10500CH_MRL0001CH_10_90	MSK10500CH	MRL0001CH	10	90	10000000	90000000
MSK10500CH_MRL0001CH_25_75	MSK10500CH	MRL0001CH	25	75	25000000	75000000
MSK10500CH_MRL0001CH_5_95	MSK10500CH	MRL0001CH	5	95	5000000	95000000
MSK10500CH_MRL0001CH_50_50	MSK10500CH	MRL0001CH	50	50	50000000	50000000
MSK10500CH_MRL0002CH_1_99	MSK10500CH	MRL0002CH	1	99	1000000	99000000
MSK10500CH_MRL0002CH_10_90	MSK10500CH	MRL0002CH	10	90	10000000	90000000
MSK10500CH_MRL0002CH_25_75	MSK10500CH	MRL0002CH	25	75	25000000	75000000
MSK10500CH_MRL0002CH_5_95	MSK10500CH	MRL0002CH	5	95	5000000	95000000
MSK10500CH_MRL0002CH_50_50	MSK10500CH	MRL0002CH	50	50	50000000	50000000
