feature_table	gene_panel	Bladder	ERneg	ERpos	NEPC	NSCLC	Normal	Prostate	RCC	SCLC	mean_roc
E1 SE	Guardant360 CDx	0.8252979777688496	0.6405043746783325	0.8480438184663537	0.874198717948718	0.7232380319148937	0.9436193619361936	0.9017615176151762	0.8015034061545689	0.7414156626506024	0.8110647632370765
E1 MDS	Guardant360 CDx	0.8325967590732557	0.6769600274489621	0.7275039123630673	0.8607371794871795	0.7014073581560284	0.8953978731206453	0.7974012775842044	0.7829457364341085	0.6746987951807228	0.7721832132053527
E1 Small Fragments	Guardant360 CDx	0.7367751439667872	0.7317721736146852	0.8190140845070423	0.8618589743589744	0.6488807624113475	0.8852218555188852	0.8140001935733643	0.7201667841202725	0.5492469879518073	0.7518818844470184
ATAC Entropy	Guardant360 CDx	0.7202357037632249	0.6567164179104478	0.6774256651017214	0.7477564102564103	0.7354831560283688	0.9052071873854052	0.8069589624467673	0.69538407329105	0.6180722891566265	0.72924887392666915
All Exons Depth	Tempus xF	0.9158296504620329	0.90058329044433	0.9494131455399061	0.9863782051282052	0.8569370567375887	0.9742390905757242	0.9738917924893534	0.9242424242424242	0.8649096385542169	0.9273804771304202
All Combined	Tempus xF	0.920918708986206	0.8807685709384114	0.9576682316118936	0.9746794871794872	0.8528368794326241	0.9719471947194719	0.9768679829655439	0.9221869861404745	0.8373493975903614	0.9216914932849416
All Exons MDS	Tempus xF	0.9205169412079818	0.8927774918510893	0.9457355242566511	0.9600961538461539	0.8269614361702128	0.9527869453612028	0.9603658536585366	0.8902396053558844	0.8777108433734939	0.9141323105645786
Full Gene Depth	Tempus xF	0.8856301057988483	0.828443986961743	0.9466353677621283	0.9588141025641026	0.8285128546099291	0.9752475247524752	0.9579945799457994	0.8594667606295513	0.7876506024096386	0.8920439872704684
All Exons SE	Tempus xF	0.8956073389580822	0.8662720878366786	0.9213615023474179	0.9919871794871795	0.8014184397163121	0.9438943894389439	0.9645760743321719	0.8495419309372798	0.7792168674698795	0.8904306456137717
E1 Depth	Tempus xF	0.8870362930226329	0.8470578143763939	0.919131455399061	0.9677884615384615	0.8031914893617021	0.9635130179684634	0.9492353852109949	0.8700375851538642	0.7799698795180723	0.8874401535055163
All Exons Small Fragments	Tempus xF	0.9144904245346189	0.8766512266254932	0.9047339593114241	0.95	0.8142176418439716	0.9303263659699302	0.934789972899729	0.8534766267324407	0.7344879518072289	0.8792415744138707
Fragment Bins	Tempus xF	0.8798714343109683	0.815062617944759	0.871283255086072	0.9022435897435898	0.7276152482269503	0.9462779611294463	0.9522115756871854	0.7638007986845197	0.7621987951807229	0.8467294751104681
TFBS Entropy	Tempus xF	0.8269720101781171	0.7165036884542804	0.8088419405320814	0.9314102564102564	0.7547096631205674	0.9372937293729372	0.9041569879984515	0.8392060136246183	0.7344879518072289	0.8281758046109488
E1 MDS	Tempus xF	0.8364805142627562	0.7946474523932063	0.7899452269170579	0.8783653846153846	0.714982269503546	0.9406857352401906	0.8681765389082462	0.8148343904157858	0.7125	0.8167352791395749
E1 SE	Tempus xF	0.8159903575733226	0.7187339166237777	0.8589984350547731	0.8828525641025641	0.7023492907801419	0.9187752108544187	0.925208091366628	0.7646817007282124	0.7256024096385542	0.812576886302488
E1 Small Fragments	Tempus xF	0.7774876121601715	0.7460971007033796	0.8077464788732395	0.8977564102564103	0.6421764184397163	0.8779794646131279	0.8476819589624468	0.7387831806436458	0.5903614457831325	0.7695633411594744
ATAC Entropy	Tempus xF	0.7214410070978974	0.6236061073940642	0.6933098591549296	0.7072115384615385	0.6947030141843972	0.8893472680601393	0.8036682152535811	0.7546394174301151	0.6588855421686747	0.7274235521339263
